id,sample_id,sample_label,capacitance_pf,carried_out_at,day_of_week,hour_of_day,elapsed_minutes_since_first_reading,category
64,9,hasa_batt_supply_01,5.6355,2026-04-16T08:09:38.259412,4,8,0,fresh
65,9,hasa_batt_supply_01,5.688,2026-04-16T08:09:51.402840,4,8,0,fresh
66,9,hasa_batt_supply_01,5.6754999999999995,2026-04-16T08:10:02.746027,4,8,1,fresh
67,9,hasa_batt_supply_01,5.6555,2026-04-16T08:10:14.071363,4,8,1,fresh
175,9,hasa_batt_supply_01,4.117,2026-04-16T11:16:03.409586,4,11,187,moderate
176,9,hasa_batt_supply_01,4.109500000000001,2026-04-16T11:16:16.436573,4,11,187,moderate
177,9,hasa_batt_supply_01,4.109,2026-04-16T11:16:29.362733,4,11,187,moderate
178,9,hasa_batt_supply_01,4.1025,2026-04-16T11:16:41.957067,4,11,187,moderate
179,9,hasa_batt_supply_01,4.092499999999999,2026-04-16T11:16:54.683791,4,11,187,moderate
309,9,hasa_batt_supply_01,3.06,2026-04-16T13:25:51.342316,4,13,316,moderate
310,9,hasa_batt_supply_01,3.0854999999999997,2026-04-16T13:26:04.603003,4,13,317,moderate
311,9,hasa_batt_supply_01,3.034,2026-04-16T13:26:17.363118,4,13,317,moderate
312,9,hasa_batt_supply_01,3.02,2026-04-16T13:26:28.805798,4,13,317,moderate
313,9,hasa_batt_supply_01,3.0060000000000002,2026-04-16T13:26:41.115394,4,13,317,moderate
314,9,hasa_batt_supply_01,3.0305,2026-04-16T13:26:52.874911,4,13,317,moderate
316,9,hasa_batt_supply_01,3.1189999999999998,2026-04-16T13:28:10.053022,4,13,319,moderate
375,9,hasa_batt_supply_01,2.868,2026-04-16T15:55:53.384786,4,15,466,spoiled
376,9,hasa_batt_supply_01,2.8865,2026-04-16T15:56:06.478027,4,15,467,spoiled
378,9,hasa_batt_supply_01,2.896,2026-04-16T15:57:16.883628,4,15,468,spoiled
379,9,hasa_batt_supply_01,2.919,2026-04-16T15:57:29.127142,4,15,468,spoiled
380,9,hasa_batt_supply_01,2.895,2026-04-16T15:57:40.936233,4,15,468,spoiled
381,9,hasa_batt_supply_01,2.926,2026-04-16T15:57:52.612576,4,15,468,spoiled
382,9,hasa_batt_supply_01,2.94,2026-04-16T15:58:04.738617,4,15,469,spoiled
431,9,hasa_batt_supply_01,2.6595,2026-04-16T19:00:14.942343,4,19,651,spoiled
432,9,hasa_batt_supply_01,2.661,2026-04-16T19:00:28.535821,4,19,651,spoiled
433,9,hasa_batt_supply_01,2.6725000000000003,2026-04-16T19:00:37.442807,4,19,651,spoiled
434,9,hasa_batt_supply_01,2.63,2026-04-16T19:00:46.617943,4,19,651,spoiled
435,9,hasa_batt_supply_01,2.607,2026-04-16T19:00:55.708216,4,19,651,spoiled
493,9,hasa_batt_supply_01,2.3585000000000003,2026-04-16T23:30:23.792643,4,23,921,spoiled
494,9,hasa_batt_supply_01,2.4885,2026-04-16T23:30:35.034291,4,23,921,spoiled
495,9,hasa_batt_supply_01,2.5465,2026-04-16T23:30:46.426311,4,23,921,spoiled
496,9,hasa_batt_supply_01,2.2775,2026-04-16T23:31:16.733932,4,23,922,spoiled
497,9,hasa_batt_supply_01,2.2485,2026-04-16T23:31:25.507534,4,23,922,spoiled
498,9,hasa_batt_supply_01,2.1390000000000002,2026-04-16T23:31:34.448048,4,23,922,spoiled
499,9,hasa_batt_supply_01,2.2575000000000003,2026-04-16T23:31:43.371981,4,23,922,spoiled
500,9,hasa_batt_supply_01,2.2325,2026-04-16T23:31:55.982077,4,23,922,spoiled
501,9,hasa_batt_supply_01,2.005,2026-04-16T23:32:04.572720,4,23,923,spoiled
56,8,tamarong_batt_supply_05,5.8469999999999995,2026-04-16T08:07:24.552278,4,8,0,fresh
57,8,tamarong_batt_supply_05,5.859,2026-04-16T08:07:48.555477,4,8,0,fresh
58,8,tamarong_batt_supply_05,5.901,2026-04-16T08:07:58.062759,4,8,0,fresh
59,8,tamarong_batt_supply_05,5.9035,2026-04-16T08:08:07.037039,4,8,0,fresh
60,8,tamarong_batt_supply_05,5.9215,2026-04-16T08:08:17.362202,4,8,0,fresh
124,8,tamarong_batt_supply_05,4.1370000000000005,2026-04-16T10:52:55.965925,4,10,165,moderate
125,8,tamarong_batt_supply_05,4.162,2026-04-16T10:53:09.476826,4,10,165,moderate
126,8,tamarong_batt_supply_05,4.138,2026-04-16T10:53:22.770526,4,10,165,moderate
127,8,tamarong_batt_supply_05,4.208,2026-04-16T10:53:35.880970,4,10,166,moderate
128,8,tamarong_batt_supply_05,4.223,2026-04-16T10:53:48.424222,4,10,166,moderate
129,8,tamarong_batt_supply_05,4.2475,2026-04-16T10:54:00.917798,4,10,166,moderate
256,8,tamarong_batt_supply_05,3.7705,2026-04-16T11:38:56.788921,4,11,211,moderate
257,8,tamarong_batt_supply_05,3.714,2026-04-16T11:39:07.214410,4,11,211,moderate
258,8,tamarong_batt_supply_05,3.6975,2026-04-16T11:39:18.256382,4,11,211,moderate
259,8,tamarong_batt_supply_05,3.7104999999999997,2026-04-16T11:39:31.399250,4,11,212,moderate
260,8,tamarong_batt_supply_05,3.681,2026-04-16T11:39:45.193606,4,11,212,moderate
261,8,tamarong_batt_supply_05,3.687,2026-04-16T11:39:58.521866,4,11,212,moderate
303,8,tamarong_batt_supply_05,2.451,2026-04-16T13:24:21.053578,4,13,316,moderate
305,8,tamarong_batt_supply_05,2.518,2026-04-16T13:24:44.455656,4,13,317,moderate
306,8,tamarong_batt_supply_05,2.5465,2026-04-16T13:24:57.749810,4,13,317,moderate
307,8,tamarong_batt_supply_05,2.5745,2026-04-16T13:25:08.991772,4,13,317,moderate
308,8,tamarong_batt_supply_05,2.5185,2026-04-16T13:25:20.784901,4,13,317,moderate
370,8,tamarong_batt_supply_05,2.4265,2026-04-16T15:54:23.495569,4,15,466,spoiled
371,8,tamarong_batt_supply_05,2.477,2026-04-16T15:54:36.239788,4,15,467,spoiled
372,8,tamarong_batt_supply_05,2.4385,2026-04-16T15:54:48.415572,4,15,467,spoiled
373,8,tamarong_batt_supply_05,2.3725,2026-04-16T15:55:00.775224,4,15,467,spoiled
374,8,tamarong_batt_supply_05,2.398,2026-04-16T15:55:14.336922,4,15,467,spoiled
425,8,tamarong_batt_supply_05,1.903,2026-04-16T18:58:58.163332,4,18,651,spoiled
426,8,tamarong_batt_supply_05,1.931,2026-04-16T18:59:07.388134,4,18,651,spoiled
427,8,tamarong_batt_supply_05,1.91,2026-04-16T18:59:16.194343,4,18,651,spoiled
428,8,tamarong_batt_supply_05,1.846,2026-04-16T18:59:25.268717,4,18,652,spoiled
429,8,tamarong_batt_supply_05,1.7955,2026-04-16T18:59:34.326299,4,18,652,spoiled
430,8,tamarong_batt_supply_05,1.791,2026-04-16T18:59:43.382884,4,18,652,spoiled
485,8,tamarong_batt_supply_05,1.577,2026-04-16T23:27:56.390555,4,23,920,spoiled
486,8,tamarong_batt_supply_05,1.6680000000000001,2026-04-16T23:28:08.516834,4,23,920,spoiled
487,8,tamarong_batt_supply_05,1.619,2026-04-16T23:28:18.758948,4,23,920,spoiled
488,8,tamarong_batt_supply_05,1.517,2026-04-16T23:28:27.016299,4,23,921,spoiled
489,8,tamarong_batt_supply_05,1.273,2026-04-16T23:28:36.922951,4,23,921,spoiled
490,8,tamarong_batt_supply_05,1.518,2026-04-16T23:28:50.400160,4,23,921,spoiled
48,7,tamarong_batt_supply_04,5.962,2026-04-16T08:05:17.334254,4,8,0,fresh
